"Ár";"Starf";"Kyn";"Heildarlaun Meðaltal"
"1998";"1  Störf stjórnenda";"Alls";314
"1999";"1  Störf stjórnenda";"Alls";342
"2000";"1  Störf stjórnenda";"Alls";372
"2001";"1  Störf stjórnenda";"Alls";402
"2002";"1  Störf stjórnenda";"Alls";432
"2003";"1  Störf stjórnenda";"Alls";460
"2004";"1  Störf stjórnenda";"Alls";495
"2005";"1  Störf stjórnenda";"Alls";614
"2006";"1  Störf stjórnenda";"Alls";720
"2007";"1  Störf stjórnenda";"Alls";826
"2008";"1  Störf stjórnenda";"Alls";902
"2009";"1  Störf stjórnenda";"Alls";749
"2010";"1  Störf stjórnenda";"Alls";772
"2011";"1  Störf stjórnenda";"Alls";843
"2012";"1  Störf stjórnenda";"Alls";904
"2013";"1  Störf stjórnenda";"Alls";1027
"2014";"1  Störf stjórnenda";"Alls";1081
