"Ár";"Starf";"Kyn";"Heildarlaun Meðaltal"
"1998";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Karlar";314
"1998";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Karlar";320
"1998";"2142  Sérfræðistörf í byggingarverkfræði";"Karlar";404
"1998";"2143  Sérfræðistörf í rafmagnsverkfræði";"Karlar";..
"1998";"2145  Sérfræðistörf í vélaverkfræði";"Karlar";..
"1998";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Karlar";294
"1998";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Karlar";338
"1998";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Karlar";274
"1999";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Karlar";343
"1999";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Karlar";343
"1999";"2142  Sérfræðistörf í byggingarverkfræði";"Karlar";411
"1999";"2143  Sérfræðistörf í rafmagnsverkfræði";"Karlar";..
"1999";"2145  Sérfræðistörf í vélaverkfræði";"Karlar";..
"1999";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Karlar";335
"1999";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Karlar";350
"1999";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Karlar";291
"2000";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Karlar";361
"2000";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Karlar";365
"2000";"2142  Sérfræðistörf í byggingarverkfræði";"Karlar";443
"2000";"2143  Sérfræðistörf í rafmagnsverkfræði";"Karlar";..
"2000";"2145  Sérfræðistörf í vélaverkfræði";"Karlar";..
"2000";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Karlar";356
"2000";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Karlar";389
"2000";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Karlar";319
