"Ár";"Starf";"Kyn";"Heildarlaun Meðaltal"
"1998";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";..
"1998";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";..
"1998";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"1998";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"1998";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"1998";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"1998";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";197
"1998";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"1999";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";..
"1999";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";..
"1999";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"1999";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"1999";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"1999";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"1999";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";219
"1999";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2000";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";..
"2000";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";..
"2000";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2000";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2000";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2000";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2000";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";248
"2000";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2001";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";..
"2001";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";..
"2001";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2001";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2001";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2001";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2001";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";278
"2001";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2002";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";..
"2002";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";..
"2002";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2002";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2002";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2002";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2002";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";289
"2002";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2003";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";..
"2003";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";..
"2003";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2003";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2003";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2003";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2003";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";313
"2003";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2004";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";402
"2004";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";..
"2004";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2004";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2004";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2004";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2004";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";306
"2004";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2005";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";419
"2005";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";..
"2005";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2005";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2005";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2005";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2005";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";335
"2005";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2006";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";470
"2006";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";..
"2006";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2006";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2006";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2006";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2006";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";365
"2006";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2007";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";521
"2007";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";471
"2007";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2007";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2007";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2007";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2007";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";443
"2007";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2008";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";559
"2008";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";533
"2008";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2008";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2008";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2008";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2008";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";478
"2008";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2009";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";546
"2009";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";547
"2009";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2009";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2009";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2009";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2009";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";481
"2009";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2010";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";577
"2010";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";566
"2010";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2010";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2010";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2010";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2010";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";464
"2010";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2011";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";603
"2011";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";581
"2011";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2011";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2011";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2011";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2011";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";506
"2011";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2012";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";671
"2012";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";646
"2012";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2012";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2012";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2012";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2012";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";540
"2012";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2013";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";700
"2013";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";694
"2013";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2013";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2013";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2013";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2013";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";576
"2013";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
"2014";"21  Sérfræðistörf í eðlis-, verk- og stærðfræði";"Konur";731
"2014";"214  Sérfræðistörf tengd arkitektúr og verkfræði";"Konur";744
"2014";"2142  Sérfræðistörf í byggingarverkfræði";"Konur";..
"2014";"2143  Sérfræðistörf í rafmagnsverkfræði";"Konur";..
"2014";"2145  Sérfræðistörf í vélaverkfræði";"Konur";..
"2014";"2149  Sérfræðistörf í arkitektúr og verkfræði ófl.a.";"Konur";..
"2014";"31  Tækni- og rannsóknarstörf í verkfræði og raungreinum öðrum en líffræðigreinum";"Konur";612
"2014";"311  Tækni- og rannsóknarstörf í eðlis-, efna- og verkfræði";"Konur";..
